코드,종목명,시장,섹터,시가총액(억)
005930,삼성전자,KOSPI,반도체/IT,12608829.0
000660,SK하이닉스,KOSPI,반도체/IT,7469121.0
005935,삼성전자우,KOSPI,기타,1143996.0
005380,현대차,KOSPI,조선/중공업,1036074.0
373220,LG에너지솔루션,KOSPI,조선/중공업,946530.0
402340,SK스퀘어,KOSPI,금융/보험,767426.0
012450,한화에어로스페이스,KOSPI,기타,761076.0
207940,삼성바이오로직스,KOSPI,바이오/헬스케어,740655.0
034020,두산에너빌리티,KOSPI,자동차,645686.0
000270,기아,KOSPI,조선/중공업,619195.0
105560,KB금융,KOSPI,금융/보험,583138.0
329180,HD현대중공업,KOSPI,기타,505913.0
028260,삼성물산,KOSPI,소비재,499480.0
032830,삼성생명,KOSPI,금융/보험,482000.0
068270,셀트리온,KOSPI,바이오/헬스케어,467873.0
055550,신한지주,KOSPI,금융/보험,458041.0
042660,한화오션,KOSPI,기타,390983.0
009150,삼성전기,KOSPI,반도체/IT,384673.0
006400,삼성SDI,KOSPI,조선/중공업,377745.0
006800,미래에셋증권,KOSPI,금융/보험,374839.0
012330,현대모비스,KOSPI,조선/중공업,367921.0
267260,HD현대일렉트릭,KOSPI,조선/중공업,355064.0
010130,고려아연,KOSPI,조선/중공업,328749.0
086790,하나금융지주,KOSPI,금융/보험,326476.0
035420,NAVER,KOSPI,반도체/IT,316450.0
005490,POSCO홀딩스,KOSPI,조선/중공업,292168.0
015760,한국전력,KOSPI,에너지/화학,283106.0
298040,효성중공업,KOSPI,조선/중공업,273862.0
009540,HD한국조선해양,KOSPI,금융/보험,273538.0
042700,한미반도체,KOSPI,자동차,260202.0
010140,삼성중공업,KOSPI,기타,249040.0
034730,SK,KOSPI,금융/보험,246872.0
272210,한화시스템,KOSPI,반도체/IT,246162.0
316140,우리금융지주,KOSPI,금융/보험,244447.0
051910,LG화학,KOSPI,에너지/화학,242132.0
010120,LS ELECTRIC,KOSPI,조선/중공업,236400.0
064350,현대로템,KOSPI,기타,224833.0
000810,삼성화재,KOSPI,금융/보험,215447.0
000720,현대건설,KOSPI,건설,211353.0
035720,카카오,KOSPI,반도체/IT,210868.0
096770,SK이노베이션,KOSPI,에너지/화학,200666.0
138040,메리츠금융지주,KOSPI,금융/보험,198238.0
267250,HD현대,KOSPI,금융/보험,196693.0
000150,두산,KOSPI,금융/보험,196431.0
011200,HMM,KOSPI,기타,194307.0
003670,포스코퓨처엠,KOSPI,조선/중공업,193458.0
017670,SK텔레콤,KOSPI,통신,190304.0
066570,LG전자,KOSPI,반도체/IT,188785.0
047810,한국항공우주,KOSPI,기타,184033.0
079550,LIG넥스원,KOSPI,조선/중공업,181500.0
033780,KT&G,KOSPI,소비재,181189.0
024110,기업은행,KOSPI,금융/보험,175035.0
086280,현대글로비스,KOSPI,기타,165750.0
030200,KT,KOSPI,통신,156505.0
003550,LG,KOSPI,금융/보험,140342.0
071050,한국금융지주,KOSPI,금융/보험,132906.0
0126Z0,삼성에피스홀딩스,KOSPI,금융/보험,129890.0
047050,포스코인터내셔널,KOSPI,소비재,128424.0
010950,S-Oil,KOSPI,에너지/화학,124179.0
005940,NH투자증권,KOSPI,금융/보험,121692.0
039490,키움증권,KOSPI,금융/보험,120836.0
278470,에이피알,KOSPI,에너지/화학,120364.0
018260,삼성에스디에스,KOSPI,반도체/IT,118852.0
323410,카카오뱅크,KOSPI,금융/보험,118443.0
005830,DB손해보험,KOSPI,금융/보험,116357.0
307950,현대오토에버,KOSPI,반도체/IT,112438.0
352820,하이브,KOSPI,기타,111976.0
259960,크래프톤,KOSPI,반도체/IT,111167.0
028050,삼성E&A,KOSPI,기타,100548.0
047040,대우건설,KOSPI,건설,93723.0
016360,삼성증권,KOSPI,금융/보험,93586.0
003490,대한항공,KOSPI,기타,91871.0
000880,한화,KOSPI,에너지/화학,91375.0
006260,LS,KOSPI,금융/보험,89700.0
